fips,state,total,white,black,native,asian,pac,other,two,hispanic,non_hispanic_white,year
0400000US01,Alabama,1099751,687344,324427,5499,14297,1100,26394,41791,76983,642255,2017
0400000US02,Alaska,185456,101259,5564,33197,10942,3153,2596,28746,17433,92543,2017
0400000US04,Arizona,1618442,1145857,77685,90633,42079,3237,145660,113291,710496,645758,2017
0400000US05,Arkansas,701924,496962,126346,4913,9827,2808,28077,32289,82827,447828,2017
0400000US06,California,9088594,5116878,499873,72709,1017923,36354,1554150,799796,4716980,2372123,2017
0400000US08,Colorado,1247818,989520,56152,12478,36187,2496,68630,83604,388071,707513,2017
0400000US09,Connecticut,760445,525467,92774,2281,34220,0,51710,53231,173381,431172,2017
0400000US10,Delaware,203348,123229,51854,610,7727,203,5490,14234,30706,102284,2017
0400000US11,District of Columbia,117347,31097,68648,235,2112,0,8918,6219,18658,23939,2017
0400000US12,Florida,4097864,2753765,856454,12294,106544,4098,139327,225383,1237555,1749788,2017
0400000US13,Georgia,2493712,1331642,847862,7481,87280,2494,102242,117204,351613,1114689,2017
0400000US15,Hawaii,305962,55073,4895,306,77714,38857,2448,126974,54767,42529,2017
0400000US16,Idaho,433216,381230,3899,5632,5199,433,16029,20794,78412,326212,2017
0400000US17,Illinois,2952062,1945409,463474,5904,135795,0,245021,153507,720303,1526216,2017
0400000US18,Indiana,1571512,1230494,171295,3143,31430,0,51860,81719,168152,1131489,2017
0400000US19,Iowa,725311,622317,34815,2901,16682,725,12330,35540,70355,570820,2017
0400000US20,Kansas,715884,575571,44385,5727,17897,0,21477,50112,129575,479642,2017
0400000US21,Kentucky,1008766,836267,88771,2018,15131,1009,15131,51447,58508,798943,2017
0400000US22,Louisiana,1110071,617199,410726,6660,17761,0,16651,42183,69934,570576,2017
0400000US23,Maine,255775,231476,5883,2046,3325,0,1023,12277,6650,227384,2017
0400000US24,Maryland,1344744,672372,423594,2689,76650,0,75306,92787,189609,580929,2017
0400000US25,Massachusetts,1376326,992331,123869,4129,86709,0,78451,90838,238104,867085,2017
0400000US26,Michigan,2201687,1602828,350068,13210,66051,0,37429,134303,178337,1486139,2017
0400000US27,Minnesota,1281414,963623,110202,17940,71759,0,34598,82010,111483,900834,2017
0400000US28,Mississippi,723065,376717,308749,3615,5785,0,7954,20246,31092,357194,2017
0400000US29,Missouri,1382576,1067349,185265,5530,23504,1383,26269,73277,89867,1012046,2017
0400000US30,Montana,224799,185459,899,23154,1349,225,1574,12139,13263,176917,2017
0400000US31,Nebraska,467684,387710,26658,5612,10757,468,12160,24320,79506,326443,2017
0400000US32,Nevada,668571,403148,65520,7354,38777,4680,86914,62846,272777,242691,2017
0400000US33,New Hampshire,262799,237045,4730,526,7358,0,1840,11300,14980,226007,2017
0400000US34,New Jersey,1993559,1251955,285079,3987,185401,0,161478,103665,512345,950928,2017
0400000US35,New Mexico,495709,344022,9914,56511,5453,496,50562,28751,295938,121944,2017
0400000US36,New York,4176405,2422315,705812,16706,317407,0,467757,242231,1010690,2029733,2017
0400000US37,North Carolina,2283221,1415597,527424,29682,63930,2283,118727,125577,356182,1207824,2017
0400000US38,North Dakota,169792,137701,4924,14602,2038,0,2038,8490,8829,132608,2017
0400000US39,Ohio,2620542,1991612,379979,5241,52411,0,34067,159853,151991,1897272,2017
0400000US40,Oklahoma,953005,608017,74334,87676,18107,1906,35261,127703,157246,514623,2017
0400000US41,Oregon,861065,680241,19804,11194,30998,4305,38748,75774,187712,554526,2017
0400000US42,Pennsylvania,2678167,1992556,361553,5356,91058,0,77667,147299,302633,1823832,2017
0400000US44,Rhode Island,209842,151506,18676,1259,7344,210,16997,13640,50152,124646,2017
0400000US45,South Carolina,1086847,656456,331488,3261,15216,1087,24997,54342,95643,595592,2017
0400000US46,South Dakota,209282,158845,4813,28462,3139,0,2302,11720,12348,152148,2017
0400000US47,Tennessee,1493386,1073745,289717,2987,25388,1493,34348,65709,134405,982648,2017
0400000US48,Texas,7194864,5209082,863384,35974,287795,7195,467666,323769,3547068,2316746,2017
0400000US49,Utah,907957,764500,11803,9988,13619,9080,55385,43582,157077,676428,2017
0400000US50,Vermont,119195,109063,2265,358,1907,119,477,4887,2980,106918,2017
0400000US51,Virginia,1861088,1165041,377801,3722,111665,1861,61416,139582,241941,1014293,2017
0400000US53,Washington,1611357,1118282,64454,25782,109572,12891,99904,180472,335162,928142,2017
0400000US54,West Virginia,375024,340897,13501,375,2625,0,1875,15751,8251,334521,2017
0400000US55,Wisconsin,1291356,1011132,112348,14205,43906,0,40032,69733,148506,922028,2017
0400000US56,Wyoming,137649,120581,1514,4405,964,0,3028,7020,19409,106678,2017
0400000US72,Puerto Rico,729196,498041,61982,2917,1458,0,114484,51044,722633,4375,2017
0400000US01,Alabama,1126944,715609,343718,6762,13523,0,16904,30427,66490,671659,2012
0400000US02,Alaska,185860,105754,6505,31410,8921,2788,1859,28437,14683,97762,2012
0400000US04,Arizona,1619693,1179137,76126,90703,38873,3239,139294,90703,698088,675412,2012
0400000US05,Arkansas,705740,507427,133385,4940,9175,2117,23995,25407,74103,461554,2012
0400000US06,California,9251565,5328901,555094,74013,999169,37006,1572766,693867,4727550,2544180,2012
0400000US08,Colorado,1216488,957376,54742,12165,30412,1216,80288,79072,369812,706780,2012
0400000US09,Connecticut,808960,578406,96266,2427,34785,0,53391,43684,158556,495084,2012
0400000US10,Delaware,205051,126106,54133,410,6767,0,6357,10868,27067,109292,2012
0400000US11,District of Columbia,103357,24496,67906,310,1757,103,5375,3514,12816,18398,2012
0400000US12,Florida,3985969,2702487,845025,11958,99649,3986,139509,183355,1100127,1821588,2012
0400000US13,Georgia,2477125,1340125,847177,4954,76791,0,113948,91654,314595,1166726,2012
0400000US15,Hawaii,301874,47394,4830,302,79997,39545,3622,125881,45583,40149,2012
0400000US16,Idaho,424244,380123,2970,5939,4242,424,11879,18242,71697,326668,2012
0400000US17,Illinois,3104994,2046191,515429,6210,130410,0,273239,133515,717254,1648752,2012
0400000US18,Indiana,1596580,1269281,174027,3193,23949,0,52687,73443,153272,1183066,2012
0400000US19,Iowa,721771,627219,30314,2887,13714,0,15879,31758,62072,588965,2012
0400000US20,Kansas,719325,579057,46756,7193,16544,719,23738,46037,120127,495615,2012
0400000US21,Kentucky,1017260,853481,91553,1017,13224,1017,15259,41708,49846,824998,2012
0400000US22,Louisiana,1111664,618085,420209,7782,16675,0,14452,34462,54472,584735,2012
0400000US23,Maine,272709,249801,5727,1636,3545,0,1091,10908,6272,245711,2012
0400000US24,Maryland,1346151,702691,437499,4038,71346,0,53846,75384,149423,627306,2012
0400000US25,Massachusetts,1410019,1056104,122672,2820,78961,0,78961,69091,208683,953173,2012
0400000US26,Michigan,2329507,1707529,382039,13977,62897,0,39602,121134,170054,1600371,2012
0400000US27,Minnesota,1275824,1001522,91859,17862,66343,0,26792,70170,100790,937731,2012
0400000US28,Mississippi,749953,387726,328479,3750,6000,0,6750,16499,26248,371227,2012
0400000US29,Missouri,1411466,1102355,194782,4234,21172,1411,21172,64927,79042,1052954,2012
0400000US30,Montana,221030,184560,1326,20998,1105,221,1768,11052,10830,177487,2012
0400000US31,Nebraska,455253,376949,25949,5918,8650,455,16389,21397,68288,331424,2012
0400000US32,Nevada,661901,444797,59571,7943,38390,4633,57585,49643,260127,262113,2012
0400000US33,New Hampshire,284806,259173,4842,570,7690,0,3133,9399,13671,249775,2012
0400000US34,New Jersey,2049546,1317858,307432,6149,176261,0,151666,90180,459098,1057566,2012
0400000US35,New Mexico,513387,340889,11808,57499,5647,513,69307,27723,298791,135534,2012
0400000US36,New York,4292217,2601084,755430,17169,291871,0,433514,197442,965749,2193323,2012
0400000US37,North Carolina,2268120,1417575,542081,29486,54435,2268,113406,108870,306196,1254270,2012
0400000US38,North Dakota,149665,125419,2544,13021,1347,0,1197,6136,5538,122127,2012
0400000US39,Ohio,2710735,2100820,393057,2711,46082,0,29818,132826,132826,2019498,2012
0400000US40,Oklahoma,922308,591199,75629,83930,14757,922,33203,121745,130968,518337,2012
0400000US41,Oregon,861170,676018,19807,15501,31002,4306,52531,61143,178262,570956,2012
0400000US42,Pennsylvania,2770762,2108550,371282,5542,80352,0,83123,121914,257681,1972783,2012
0400000US44,Rhode Island,221869,161521,18637,1331,7322,0,20856,12203,45483,142218,2012
0400000US45,South Carolina,1073583,643076,345694,3221,12883,0,24692,42943,80519,594765,2012
0400000US46,South Dakota,200304,155236,3605,28043,2003,0,2404,9214,9214,150829,2012
0400000US47,Tennessee,1489130,1076641,299315,2978,22337,1489,31272,55098,108706,1008141,2012
0400000US48,Texas,6829733,4842281,840057,34149,239041,6830,607846,259530,3298761,2315279,2012
0400000US49,Utah,863026,750833,11219,10356,12082,10356,33658,35384,142399,653311,2012
0400000US50,Vermont,127455,118151,1657,382,1784,0,637,4843,2804,116239,2012
0400000US51,Virginia,1842907,1170246,398068,5529,101360,1843,55287,110574,204563,1048614,2012
0400000US53,Washington,1570902,1118482,62836,26705,100538,10996,98967,150807,295330,956679,2012
0400000US54,West Virginia,385114,352379,12709,385,2311,0,1155,15790,7317,347373,2012
0400000US55,Wisconsin,1329463,1067559,115663,14624,39884,0,29248,61155,134276,978485,2012
0400000US56,Wyoming,134031,116607,1072,4557,938,0,3485,7372,17826,105750,2012
0400000US72,Puerto Rico,895082,621187,59970,1790,3580,0,91298,117256,887026,6266,2012
0400000US01,Alabama,1128848,719076,347685,6773,12417,0,15804,27092,58700,681824,2010
0400000US02,Alaska,184290,105967,5713,32251,8109,2211,2396,27644,14006,99148,2010
0400000US04,Arizona,1607647,1141429,72344,93244,36976,3215,173626,86813,680035,688073,2010
0400000US05,Arkansas,702267,502823,134835,4916,8427,2107,25282,23877,68120,465603,2010
0400000US06,California,9291319,5175265,576062,74331,984880,37165,1793225,650392,4645660,2666609,2010
0400000US08,Colorado,1197484,934038,52689,11975,29937,1197,93404,74244,353258,710108,2010
0400000US09,Connecticut,824030,594126,95587,1648,32961,0,57682,41202,149973,519139,2010
0400000US10,Delaware,204599,127465,53400,614,6752,205,6752,9412,24756,112325,2010
0400000US11,District of Columbia,102141,21960,70171,204,1736,102,5209,2758,11644,16547,2010
0400000US12,Florida,3995717,2689118,847092,11987,95897,3996,179807,163824,1050874,1885978,2010
0400000US13,Georgia,2452767,1331852,846205,4906,73583,2453,120186,73583,284521,1187139,2010
0400000US15,Hawaii,299688,48250,4495,599,81515,37761,3596,123771,43155,41057,2010
0400000US16,Idaho,417654,373800,2924,5847,4177,835,12112,17541,66825,326188,2010
0400000US17,Illinois,3144642,2031439,540878,6289,128930,0,320753,119496,691821,1701251,2010
0400000US18,Indiana,1600874,1279098,174495,3202,24013,0,54430,65636,140877,1203857,2010
0400000US19,Iowa,719845,629145,28074,2879,12237,0,17996,28794,56148,597471,2010
0400000US20,Kansas,713071,569031,48489,7131,16401,713,28523,42784,111239,500576,2010
0400000US21,Kentucky,1014658,856371,93349,2029,12176,1015,14205,36528,43630,831005,2010
0400000US22,Louisiana,1102289,618384,418870,7716,15432,0,13227,28660,49603,588622,2010
0400000US23,Maine,280632,258743,5893,1684,3648,0,1403,8980,6455,255094,2010
0400000US24,Maryland,1356908,720518,443709,4071,67845,0,52919,66488,135691,652673,2010
0400000US25,Massachusetts,1424251,1079582,118213,2849,75485,0,84031,64091,197971,985582,2010
0400000US26,Michigan,2412146,1763279,407653,14473,62716,0,50655,110959,164026,1671617,2010
0400000US27,Minnesota,1277553,1014377,89429,17886,65155,1278,28106,61323,93261,956887,2010
0400000US28,Mississippi,753488,389553,333042,3767,5274,0,6781,14316,22605,376744,2010
0400000US29,Missouri,1420561,1110879,201720,4262,21308,1421,21308,59664,75290,1066841,2010
0400000US30,Montana,220808,185037,1546,20977,1325,221,1546,10157,10378,178634,2010
0400000US31,Nebraska,450861,373313,24797,5861,7665,451,18485,20289,62219,334990,2010
0400000US32,Nevada,655081,444145,59612,7861,36685,3930,57647,45856,248276,271204,2010
0400000US33,New Hampshire,295129,270338,4427,590,7673,0,3542,8559,13281,261484,2010
0400000US34,New Jersey,2073770,1331360,315213,4148,170049,0,172123,78803,435492,1105319,2010
0400000US35,New Mexico,510154,328029,10713,59178,6122,510,77033,28569,289767,139782,2010
0400000US36,New York,4356098,2648508,771029,17424,291859,0,457390,169888,945273,2269527,2010
0400000US37,North Carolina,2229680,1386861,541812,28986,51283,2230,127092,91417,274251,1261999,2010
0400000US38,North Dakota,147182,124369,2208,12658,1177,147,1030,5887,5004,121572,2010
0400000US39,Ohio,2757516,2148105,408112,5515,44120,0,33090,118573,126846,2076410,2010
0400000US40,Oklahoma,908302,583130,77206,85380,14533,908,36332,110813,119896,522274,2010
0400000US41,Oregon,860295,679633,18926,18926,30971,3441,49037,59360,167758,584140,2010
0400000US42,Pennsylvania,2808766,2151515,381992,5618,78645,0,87072,103924,238745,2033547,2010
0400000US44,Rhode Island,229093,167696,18327,1375,7560,229,23367,10538,44215,150743,2010
0400000US45,South Carolina,1064322,638593,351226,3193,12772,0,23415,35123,71310,596020,2010
0400000US46,South Dakota,197774,155055,2967,26897,1582,0,2571,8702,8504,151099,2010
0400000US47,Tennessee,1481596,1074157,303727,2963,22224,1482,29632,48893,96304,1016375,2010
0400000US48,Texas,6650550,4529025,824668,33253,219468,6651,804717,232769,3125758,2340994,2010
0400000US49,Utah,830255,723982,9963,9963,11624,9133,32380,31550,129520,637636,2010
0400000US50,Vermont,131725,122899,1712,395,1712,0,659,4479,2898,121055,2010
0400000US51,Virginia,1833319,1173324,401497,5500,97166,1833,60500,93499,185165,1068825,2010
0400000US53,Washington,1556463,1120653,63815,28016,99614,10895,99614,133856,272381,979015,2010
0400000US54,West Virginia,387035,356846,13159,387,2322,0,1161,12772,6967,352202,2010
0400000US55,Wisconsin,1338558,1072185,117793,14724,40157,0,38818,53542,124486,1002580,2010
0400000US56,Wyoming,130300,113752,912,4821,782,130,3127,6776,16157,104501,2010
0400000US72,Puerto Rico,944365,687498,59495,1889,2833,0,105769,85937,934921,7555,2010
0400000US01,Alabama,1108897,697496,330451,5544,13307,1109,23287,38811,73187,652031,2015
0400000US02,Alaska,187365,103238,6183,31852,10680,3373,2436,29604,16675,94994,2015
0400000US04,Arizona,1613238,1159918,77435,91955,41944,3226,135512,103247,698532,656588,2015
0400000US05,Arkansas,703792,504619,130202,4223,9149,2815,23225,28152,80232,452538,2015
0400000US06,California,9146067,5268135,521326,73169,1006067,36584,1499955,749977,4728517,2423708,2015
0400000US08,Colorado,1238561,979702,55735,13624,34680,2477,71837,81745,385192,705980,2015
0400000US09,Connecticut,781932,547352,95396,2346,35187,0,52389,49262,168897,456648,2015
0400000US10,Delaware,203494,122910,52298,610,7529,0,6105,14041,29100,104799,2015
0400000US11,District of Columbia,110588,27979,67790,332,1880,0,7188,5419,15814,22007,2015
0400000US12,Florida,4026684,2718012,853657,12080,100667,4027,132881,209388,1171765,1767714,2015
0400000US13,Georgia,2485317,1339586,842522,7456,84501,2485,101898,106869,338003,1135790,2015
0400000US15,Hawaii,306620,51819,5826,307,79108,39554,2453,127247,51819,42314,2015
0400000US16,Idaho,428084,380995,2997,5993,4709,428,12414,20548,75771,324916,2015
0400000US17,Illinois,3016196,1999738,479575,6032,135729,0,247328,144777,723887,1571438,2015
0400000US18,Indiana,1580943,1242621,172323,3162,28457,1581,53752,79047,162837,1150927,2015
0400000US19,Iowa,723357,625704,31828,2893,15190,723,13020,33998,67996,577239,2015
0400000US20,Kansas,721296,581365,46163,6492,18032,721,20196,48327,127669,486875,2015
0400000US21,Kentucky,1012290,842225,88069,2025,14172,1012,15184,49602,54664,807807,2015
0400000US22,Louisiana,1111477,620204,414581,6669,16672,0,13338,40013,63354,576857,2015
0400000US23,Maine,261223,237974,5224,1567,3396,0,1045,11755,6792,233272,2015
0400000US24,Maryland,1344853,685875,427663,2690,76657,0,65898,86071,172141,599804,2015
0400000US25,Massachusetts,1390928,1015377,123793,2782,84847,0,80674,82065,226721,902712,2015
0400000US26,Michigan,2242176,1639031,360990,13453,65023,0,35875,130046,174890,1522438,2015
0400000US27,Minnesota,1276122,978786,100814,17866,68911,0,30627,79120,107194,913703,2015
0400000US28,Mississippi,732930,381124,315893,3665,6596,0,6596,19056,28584,362800,2015
0400000US29,Missouri,1393647,1080076,186749,5575,23692,1394,23692,71076,86406,1027118,2015
0400000US30,Montana,223090,184495,1339,22309,1339,223,1562,11824,12270,176687,2015
0400000US31,Nebraska,462391,383785,27281,6011,9248,462,12947,22657,75370,327835,2015
0400000US32,Nevada,660362,412066,61414,7924,37641,4623,79243,58112,266126,249617,2015
0400000US33,New Hampshire,270665,244952,4872,541,7579,0,2165,10827,14616,234125,2015
0400000US34,New Jersey,2017223,1272868,294515,6052,183567,0,159361,100861,494220,990456,2015
0400000US35,New Mexico,504963,341355,11614,55546,5555,505,62110,29288,298433,128766,2015
0400000US36,New York,4225182,2488632,722506,16901,304213,0,460545,232385,997143,2091465,2015
0400000US37,North Carolina,2277712,1423570,532985,29610,59221,2278,111608,118441,337101,1225409,2015
0400000US38,North Dakota,162426,133514,3249,13969,1624,162,1949,7959,7796,129129,2015
0400000US39,Ohio,2649557,2032210,381536,5299,47692,0,31795,151025,145726,1942125,2015
0400000US40,Oklahoma,944084,604214,73639,86856,16049,1888,33987,127451,148221,517358,2015
0400000US41,Oregon,857191,677181,18858,12001,31716,4286,46288,67718,185153,556317,2015
0400000US42,Pennsylvania,2711339,2030793,363319,5423,86763,0,84052,138278,287402,1876247,2015
0400000US44,Rhode Island,214172,154846,19704,1285,7496,0,17776,13064,48189,131287,2015
0400000US45,South Carolina,1077683,648765,336237,3233,14010,1078,23709,49573,89448,592726,2015
0400000US46,South Dakota,206098,157253,4534,27617,2679,0,2679,11129,10717,151894,2015
0400000US47,Tennessee,1488628,1068835,293260,2977,23818,1489,35727,62522,123556,989938,2015
0400000US48,Texas,7040602,5097396,851913,35203,260502,7041,485802,302746,3449895,2309317,2015
0400000US49,Utah,893485,760356,10722,9828,14296,9828,48248,41100,151892,669220,2015
0400000US50,Vermont,122472,112429,2082,367,1837,122,490,5144,2939,110347,2015
0400000US51,Virginia,1859538,1173368,384924,3719,109713,1860,53927,130168,226864,1030184,2015
0400000US53,Washington,1591865,1122265,63675,25470,106655,12735,92328,168738,323149,932833,2015
0400000US54,West Virginia,380565,346695,12939,381,2283,0,1522,16364,7992,340986,2015
0400000US55,Wisconsin,1306262,1034560,114951,14369,41800,0,33963,66619,144995,941815,2015
0400000US56,Wyoming,137026,120035,1507,4111,822,0,3563,6851,19321,106880,2015
0400000US72,Puerto Rico,801876,551691,58537,3208,2406,0,100234,86603,796263,4009,2015
0400000US01,Alabama,1096099,681774,322253,5480,14249,1096,29595,41652,80015,636834,2018
0400000US02,Alaska,185349,100459,5375,33919,10936,3151,2410,29100,17794,91377,2018
0400000US04,Arizona,1629827,1150658,81491,92900,45635,3260,140165,117348,718754,642152,2018
0400000US05,Arkansas,702358,494460,126424,4917,9833,2809,28797,34416,84985,445295,2018
0400000US06,California,9047984,5057823,488591,72384,1022422,36192,1556253,814319,4695904,2343428,2018
0400000US08,Colorado,1256226,998700,56530,12562,37687,2512,61555,86680,391943,707255,2018
0400000US09,Connecticut,750447,514807,92305,2251,33770,0,51781,54783,175605,420250,2018
0400000US10,Delaware,202651,122604,52284,405,7903,203,5674,13578,31208,101123,2018
0400000US11,District of Columbia,121060,32565,68883,363,2058,0,10653,6658,19975,25302,2018
0400000US12,Florida,4134767,2770294,860032,12404,107504,4135,144717,239816,1269373,1744872,2018
0400000US13,Georgia,2495655,1325193,846027,9983,89844,2496,102322,122287,356879,1105575,2018
0400000US15,Hawaii,304805,54560,4572,305,75896,38405,3353,127713,55779,42673,2018
0400000US16,Idaho,437727,382573,3502,6566,5253,438,17509,21886,79666,328295,2018
0400000US17,Illinois,2919971,1924261,452596,5840,137239,0,239438,157678,718313,1500865,2018
0400000US18,Indiana,1567755,1224417,172453,3136,32923,0,50168,84659,170885,1120945,2018
0400000US19,Iowa,726582,621228,34876,2906,17438,727,12352,36329,71932,568914,2018
0400000US20,Kansas,713270,570616,44936,5706,18545,713,22111,50642,130528,476464,2018
0400000US21,Kentucky,1008572,832072,87746,2017,16137,1009,16137,53454,60514,793746,2018
0400000US22,Louisiana,1105881,613764,406964,5529,16588,0,17694,44235,71882,566211,2018
0400000US23,Maine,253433,228850,6082,2281,3041,0,760,12418,6843,224542,2018
0400000US24,Maryland,1341092,665182,417080,2682,76442,1341,81807,95218,197141,571305,2018
0400000US25,Massachusetts,1373382,983342,126351,4120,87896,0,79656,93390,244462,851497,2018
0400000US26,Michigan,2189144,1589319,348074,13135,65674,0,37215,135727,179510,1471105,2018
0400000US27,Minnesota,1286854,959993,117104,18016,73351,0,34745,82359,113243,896937,2018
0400000US28,Mississippi,717313,373003,304858,3587,5739,0,8608,20802,31562,353635,2018
0400000US29,Missouri,1378239,1062622,183306,5513,24808,2756,26187,74425,90964,1004736,2018
0400000US30,Montana,226134,186334,905,23292,1357,226,1809,12437,13794,177289,2018
0400000US31,Nebraska,470107,387368,26796,6111,10812,470,12223,25856,81329,325784,2018
0400000US32,Nevada,672875,398342,67288,8747,38354,4710,90838,64596,275206,240889,2018
0400000US33,New Hampshire,261621,234412,5494,262,7849,0,1570,11773,15697,223163,2018
0400000US34,New Jersey,1967255,1233469,279350,3935,182955,0,161315,104265,515421,928544,2018
0400000US35,New Mexico,492195,342568,9844,56602,5906,492,47743,28547,295317,119111,2018
0400000US36,New York,4114547,2386437,691244,16458,308591,0,460829,246873,1003949,1991441,2018
0400000US37,North Carolina,2286117,1417393,523521,29720,66297,2286,114306,132595,365779,1200211,2018
0400000US38,North Dakota,173153,139215,6060,14545,2078,0,2251,8831,9870,133674,2018
0400000US39,Ohio,2611520,1971698,378670,5223,52230,0,36561,167137,156691,1875071,2018
0400000US40,Oklahoma,955303,610439,75469,86933,18151,955,35346,128011,160491,512042,2018
0400000US41,Oregon,864653,678753,19887,11240,31992,4323,39774,78683,189359,552513,2018
0400000US42,Pennsylvania,2663627,1971084,362253,5327,93227,0,79909,154490,311644,1795285,2018
0400000US44,Rhode Island,208128,149852,18732,1249,7284,208,16650,14153,51199,121963,2018
0400000US45,South Carolina,1092241,658621,328765,3277,16384,1092,27306,56797,99394,597456,2018
0400000US46,South Dakota,211438,159847,5497,29178,3383,0,2114,11206,13109,152658,2018
0400000US47,Tennessee,1497252,1073530,288970,2995,25453,1497,34437,68874,139244,979203,2018
0400000US48,Texas,7275140,5245376,880292,36376,298281,7275,472884,334656,3593919,2320770,2018
0400000US49,Utah,915700,767357,11904,10073,13736,9157,56773,46701,160248,678534,2018
0400000US50,Vermont,117729,107604,2237,353,2119,0,706,4827,3061,105485,2018
0400000US51,Virginia,1862261,1158326,374314,3725,111736,1862,65179,147119,249543,1005621,2018
0400000US53,Washington,1629144,1117593,66795,26066,110782,13033,105894,188981,342120,928612,2018
0400000US54,West Virginia,371776,336829,13756,744,2602,0,2231,15615,8551,330509,2018
0400000US55,Wisconsin,1286019,1000523,113170,14146,43725,0,41153,72017,149178,911787,2018
0400000US56,Wyoming,137034,120590,1370,4659,959,0,2878,6578,19596,105927,2018
0400000US72,Puerto Rico,685927,459571,65163,1372,1372,0,117979,40470,679068,4801,2018
0400000US01,Alabama,1093711,681382,321551,5469,15312,1094,28436,41561,83122,633259,2019
0400000US02,Alaska,183648,99170,5326,35077,10652,3122,2571,27914,17814,89804,2019
0400000US04,Arizona,1631155,1154858,83189,92976,44041,3262,132124,120705,720971,637782,2019
0400000US05,Arkansas,700843,490590,122648,4906,10513,3504,30837,37846,86204,442933,2019
0400000US06,California,8997470,5011591,485863,71980,1025712,35990,1547565,818770,4669687,2321347,2019
0400000US08,Colorado,1257197,998214,57831,11315,37716,2514,60345,89261,392245,706545,2019
0400000US09,Connecticut,741886,505224,91252,2968,34127,742,51932,56383,178053,409521,2019
0400000US10,Delaware,202980,122397,52369,406,7916,203,5886,13803,31868,99866,2019
0400000US11,District of Columbia,123272,33530,69032,370,2219,0,11218,6903,20463,26627,2019
0400000US12,Florida,4168946,2784856,858803,12507,104224,4169,158420,250137,1300711,1742619,2019
0400000US13,Georgia,2499486,1319729,844826,9998,92481,2499,102479,129973,362425,1097274,2019
0400000US15,Hawaii,303258,55193,4246,607,75208,37604,3942,126459,55496,43366,2019
0400000US16,Idaho,439783,382611,3958,6157,4838,880,18471,23308,80480,329837,2019
0400000US17,Illinois,2884860,1901123,444268,8655,138473,0,233674,158667,709676,1482818,2019
0400000US18,Indiana,1566344,1218616,173864,3133,34460,0,48557,86149,173864,1113671,2019
0400000US19,Iowa,725323,617975,36991,2901,17408,1451,12330,36266,72532,565027,2019
0400000US20,Kansas,708719,566266,43941,5670,18427,709,23388,49610,130404,472716,2019
0400000US21,Kentucky,1005667,827664,89504,2011,16091,1006,16091,52295,62351,789449,2019
0400000US22,Louisiana,1100855,609874,401812,5504,17614,0,19815,46236,74858,562537,2019
0400000US23,Maine,251059,225953,6276,2260,3013,0,1004,12302,7030,221434,2019
0400000US24,Maryland,1338765,655995,415017,2678,76310,1339,91036,99069,204831,563620,2019
0400000US25,Massachusetts,1365151,970622,129689,2730,88735,0,79179,95561,248457,835472,2019
0400000US26,Michigan,2171229,1574141,343054,13027,65137,0,36911,136787,180212,1456895,2019
0400000US27,Minnesota,1290808,955198,122627,18071,73576,0,36143,85193,114882,891948,2019
0400000US28,Mississippi,710695,368851,300624,4264,6396,0,10660,20610,31981,350373,2019
0400000US29,Missouri,1375240,1058935,181532,5501,24754,2750,26130,77013,93516,998424,2019
0400000US30,Montana,226579,185115,1133,23338,1133,227,2039,13368,14274,176732,2019
